Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	R0.t:h3n2_2deme.1	R0.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.1	samplingProportion.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.3	samplingProportion.t:h3n2_2deme.4	becomeUninfectiousRate.t:h3n2_2deme.1	becomeUninfectiousRate.t:h3n2_2deme.2	rateMatrix.t:h3n2_2deme.1	rateMatrix.t:h3n2_2deme.2	geo-frequencies.t:h3n2_2deme.1	geo-frequencies.t:h3n2_2deme.2	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme
34000	-4823.804833872099	-4734.433139739736	-89.37169413236245	-4734.433139739736	7.387949776472817	44.3887985817809	1	13	41	18	0	1.0003603039748103	0.9908295281827362	0.0	2.471407713491253E-4	0.0	0.0020811452360530182	62.194096466324794	62.194096466324794	0.1969458137729303	0.7035656636389975	0.5078962997508533	0.49210370024914685	0.0026961266339892106	4.9160257162423155
35000	-4822.022517890282	-4733.984724885501	-88.03779300478047	-4733.984724885501	7.6723552633637455	46.333971976623744	1	12	40	19	0	1.0025714800231855	0.9930196375983491	0.0	2.814891648299026E-4	0.0	0.002161867514165835	56.38864039665103	56.38864039665103	0.09958456615024858	0.7601354110430377	0.5078962997508533	0.49210370024914685	0.0026401061130111223	4.9160257162423155
36000	-4826.047515041831	-4739.030909142526	-87.01660589930475	-4739.030909142526	7.637986509056104	46.33983379407629	0	11	40	19	0	1.013746452165657	1.0115975343915313	0.0	6.543710654168326E-4	0.0	0.005096399805738083	35.899289649407315	35.899289649407315	0.15476821815999267	0.5435742036900797	0.5178774457329036	0.4821225542670965	0.0024585772660694533	4.367635463959381
37000	-4848.013430981038	-4742.563799760359	-105.44963122067958	-4742.563799760359	7.807508059517941	49.00574424342068	3	13	39	20	0	1.0053052970241076	1.01756990731639	0.0	6.307159413885462E-4	0.0	0.004710379325274769	37.35757827388023	37.35757827388023	0.15459515788144382	0.5865250256798629	0.41799434428228266	0.5820056557177175	0.002441590032513434	5.017865128945507
38000	-4843.445353697326	-4735.51440100776	-107.93095268956608	-4735.51440100776	7.6628335736643	49.465045990949264	2	11	38	21	0	1.0066682340571664	1.0189494720262475	0.0	7.045525831000776E-4	0.0	0.0037840007731958928	36.59019165803395	36.59019165803395	0.14792558578771708	0.5722907544936191	0.3310348299804694	0.6689651700195307	0.0023862310169106577	5.387692479129349
39000	-4864.446590917572	-4746.281166944551	-118.16542397302102	-4746.281166944551	7.898428840642779	48.867149274973954	2	13	40	19	0	0.9939134146415817	0.9661831348167054	0.0	8.097548463148665E-4	0.0	0.006951929445570458	28.0841442394447	28.0841442394447	0.14112097723329503	0.6749442308101652	0.38088936149207464	0.6191106385079255	0.002389876170209999	8.80333016899348
40000	-4842.2939063934555	-4738.365290326402	-103.92861606705335	-4738.365290326402	7.511075254228357	47.89950371094521	1	13	41	18	0	1.0110381359746499	1.0245599184834706	0.0	7.025505554403233E-4	0.0	0.007433784305437879	35.855130303366984	35.855130303366984	0.1254096207744693	0.41721934805892935	0.38088936149207464	0.6191106385079255	0.0024477182453701524	8.80333016899348
41000	-4839.991171629304	-4738.516847737772	-101.47432389153181	-4738.516847737772	7.699179648684556	47.68989103441835	1	13	41	18	0	1.0003147270445099	0.9740972003893891	0.0	5.375705430252439E-4	0.0	0.00577736999280527	39.537106111241194	39.537106111241194	0.09838164661717892	0.3192782737795354	0.38088936149207464	0.6191106385079255	0.002546739051916377	8.80333016899348
42000	-4823.58032435582	-4733.95086768076	-89.62945667506004	-4733.95086768076	7.561775684272837	47.26954509256051	1	13	41	18	0	1.010446526799866	0.9787919337731286	0.0	5.810528913326706E-4	0.0	0.008433125047572597	38.361602979251124	38.361602979251124	0.10391288934195157	0.3761334183942072	0.4123298464075756	0.5876701535924246	0.0025661076894177236	4.856753546792997
43000	-4828.228534977151	-4737.40041251693	-90.8281224602209	-4737.40041251693	7.661737164312257	48.00827885591643	0	12	41	18	0	0.9991231206699509	0.9805352250457242	0.0	3.805344524341469E-4	0.0	0.005483343666340563	51.33494987016789	51.33494987016789	0.12692224725726592	0.18971499561540514	0.366994775497795	0.6330052245022051	0.0022687797685492376	4.856753546792997
